GREAT ELECTRICAL ENTERPRISE PRIVATE LIMITED	1
KC PUBLICATIONS (ASIA) PTE. LTD.	1
SPARKLING ABS INTERNATIONAL RESOURCE PTE. LTD.	1
ANCOM LOGISTICS BERHAD	0
JUSTCOMZ (INTERNATIONAL) PTE. LTD.	1
STERLING PROGRESS BERHAD	0
JHM CONSOLIDATION BERHAD	0
KANGER INTERNATIONAL BERHAD	0
YBS INTERNATIONAL BERHAD	0
COINPREDIX PTE. LTD.	1
AT SYSTEMATIZATION BERHAD	0
JAG BERHAD	0
SERSOL BERHAD	0
JAG BERHAD	0
SC ESTATE BUILDER BERHAD	0
GARLAND DESIGN ASSOCIATES PTE LTD	1
SINGAPORE CASTI INTERNATIONAL HOLDINGS PTE. LTD.	1
INVEST HEALTHCARE PTE. LTD.	1
NEW SILKROUTE PTE. LTD.	1
OPENSYS (M) BERHAD	0
REGENT CORP-WERKZ PTE. LTD.	1
JOBSQUARE PTE. LTD.	1
VSOLAR GROUP BERHAD	0
JUSHINJUNG SAMGAETANG PTE. LTD.	1
SINGANAM INVESTMENT PTE. LTD.	1
JOBSQUARE PTE. LTD.	1
WOODPULP MEDIA PTE. LTD.	1
G & M INTERIOR FURNISHING PTE LTD	1
Greentown China Holdings Limited	0
Greentown China Holdings Limited	0
CHUANG SHEW TECK & SONS (PRIVATE) LIMITED	1
SERSOL BERHAD	0
GOLDEN MULTIMEDIA HOLDINGS PTE. LTD.	1
HITANSH GLOBAL VISCOSCE PRIVATE LIMITED	1
AT SYSTEMATIZATION BERHAD	0
SUM YI TAI PTE. LTD.	1
GLOBAL EDUCATION RESOURCES DEVELOPMENT PTE. LTD.	1
LEEDS CONSULTANCY AND SERVICES PRIVATE LIMITED	1
SCOPE INDUSTRIES BERHAD	0
QUANTA SYSTEMS PTE. LTD.	1
STUDENTS NETWORK SERVICES PTE LTD	1
ITHACA MANAGEMENT PTE. LTD.	1
HAN KANG TRAVEL SERVICE PTE. LTD.	1
KATONG FLOWERSHOP (PTE.) LTD.	1
MAGDEL SERVICES PTE LTD	1
MICROLINK SOLUTIONS BERHAD	0
SPARKLING ABS INTERNATIONAL RESOURCE PTE. LTD.	1
ARIA INTERNATIONAL PTE LTD.	1
PETRA INVESTMENTS PTE. LTD.	1
OVERSEA ENTERPRISE BERHAD	0
BRYAN TEO PTE. LTD.	1
CHANGI LIFE STYLE PTE. LTD.	1
CHUANG SHEW TECK & SONS (PRIVATE) LIMITED	1
MAGDEL SERVICES PTE LTD	1
DGB ASIA BERHAD	0
PLASTRADE TECHNOLOGY BERHAD	0
COHEN CAPITAL PTE. LTD.	1
APAC EXPO PTE. LTD.	1
REV ASIA BERHAD	0
SCC HOLDINGS BERHAD	0
QUANTA SYSTEMS PTE. LTD.	1
OPCOM HOLDINGS BERHAD	0
VSOLAR GROUP BERHAD	0
U COMPUTING PTE. LTD.	1
NOVA MSC BERHAD	0
MATANG BERHAD	0
ORION CONSULTING INTERNATIONAL PTE LTD	1
RECIPES ORIGIN PTE. LTD.	1
PLASTRADE TECHNOLOGY BERHAD	0
PROJECT SAFETY SOLUTIONS PTE. LTD.	1
SINVILLE OCEAN PTE. LTD.	1
PDL SOLUTIONS (ASIA) PTE. LTD.	1
ENCAD ASIA PTE. LTD.	1
VIRALLY MEDIA LLP	1
RUBBERMAID ASIA PACIFIC	1
BIOALPHA HOLDINGS BERHAD	0
K-ONE TECHNOLOGY BERHAD	0
Beijing Development (Hong Kong) Limited	0
AZIZA SILK HOUSE PTE. LTD.	1
YBS INTERNATIONAL BERHAD	0
INIX TECHNOLOGIES HOLDINGS BERHAD	0
MATANG BERHAD	0
